route_id,route_short_name,route_long_name,route_type 
660,3А,Северный,4,
338,4,Исторический,4,
324,4,Исторический,4,
333,4,Исторический,4,
560,1,Киевский - Сердце столицы,4,
586,3,Северный,4,
605,3,Северный,4,
209,6,Круговой,4,
314,4,Исторический,4,
311,4,Исторический,4,
595,3,Северный,4,
208,6,Круговой,4,
199,6,Круговой,4,
630,3,Северный,4,
322,4,Исторический,4,
291,4,Исторический,4,
605,3,Северный,4,
634,3А,Северный,4,
321,4,Исторический,4,
191,6,Круговой,4,
581,3,Северный,4,
655,3А,Северный,4,
337,4,Исторический,4,
645,3А,Северный,4,
229,6,Круговой,4,
582,3,Северный,4,
223,6,Круговой,4,
560,1,Киевский - Сердце столицы,4,
327,4,Исторический,4,
681,3А,Северный,4,
564,3,Северный,4,
596,3,Северный,4,
631,3,Северный,4,
317,4,Исторический,4,
559,1,Киевский - Сердце столицы,4,
567,3,Северный,4,
619,3,Северный,4,
606,3,Северный,4,
665,3А,Северный,4,
610,3,Северный,4,
705,1,Киевский - Сердце столицы,4,
555,1,Киевский - Сердце столицы,4,
568,3,Северный,4,
591,3,Северный,4,
695,1,Киевский - Сердце столицы,4,
307,4,Исторический,4,
541,1,Киевский - Сердце столицы,4,
682,3А,Северный,4,
565,3,Северный,4,
338,4,Исторический,4,
542,1,Киевский - Сердце столицы,4,
681,3А,Северный,4,
659,3А,Северный,4,
550,1,Киевский - Сердце столицы,4,
213,6,Круговой,4,
630,3,Северный,4,
643,3А,Северный,4,
658,3А,Северный,4,
334,4,Исторический,4,
295,4,Исторический,4,
669,3А,Северный,4,
617,3,Северный,4,
312,4,Исторический,4,
208,6,Круговой,4,
630,3,Северный,4,
293,4,Исторический,4,
673,3А,Северный,4,
695,1,Киевский - Сердце столицы,4,
604,3,Северный,4,
679,3А,Северный,4,
341,4,Исторический,4,
653,3А,Северный,4,
670,3А,Северный,4,
229,6,Круговой,4,
598,3,Северный,4,
566,3,Северный,4,
589,3,Северный,4,
317,4,Исторический,4,
616,3,Северный,4,
299,4,Исторический,4,
634,3А,Северный,4,
678,3А,Северный,4,
300,4,Исторический,4,
328,4,Исторический,4,
696,1,Киевский - Сердце столицы,4,
583,3,Северный,4,
677,3А,Северный,4,
537,1,Киевский - Сердце столицы,4,
335,4,Исторический,4,
594,3,Северный,4,
702,1,Киевский - Сердце столицы,4,
668,3А,Северный,4,
581,3,Северный,4,
645,3А,Северный,4,
539,1,Киевский - Сердце столицы,4,
562,1,Киевский - Сердце столицы,4,
586,3,Северный,4,
537,1,Киевский - Сердце столицы,4,
633,3А,Северный,4,
343,4,Исторический,4,
662,3А,Северный,4,
646,3А,Северный,4,
567,3,Северный,4,
672,3А,Северный,4,
643,3А,Северный,4,
567,3,Северный,4,
628,3,Северный,4,
212,6,Круговой,4,
291,4,Исторический,4,
336,4,Исторический,4,
637,3А,Северный,4,
703,1,Киевский - Сердце столицы,4,
315,4,Исторический,4,
714,1,Киевский - Сердце столицы,4,
616,3,Северный,4,
334,4,Исторический,4,
644,3А,Северный,4,
616,3,Северный,4,
635,3А,Северный,4,
586,3,Северный,4,
615,3,Северный,4,
201,6,Круговой,4,
219,6,Круговой,4,
287,4,Исторический,4,
646,3А,Северный,4,
620,3,Северный,4,
582,3,Северный,4,
685,3А,Северный,4,
564,3,Северный,4,
621,3,Северный,4,
210,6,Круговой,4,
703,1,Киевский - Сердце столицы,4,
642,3А,Северный,4,
329,4,Исторический,4,
645,3А,Северный,4,
552,1,Киевский - Сердце столицы,4,
302,4,Исторический,4,
307,4,Исторический,4,
310,4,Исторический,4,
585,3,Северный,4,
334,4,Исторический,4,
333,4,Исторический,4,
215,6,Круговой,4,
338,4,Исторический,4,
683,3А,Северный,4,
552,1,Киевский - Сердце столицы,4,
307,4,Исторический,4,
714,1,Киевский - Сердце столицы,4,
553,1,Киевский - Сердце столицы,4,
318,4,Исторический,4,
619,3,Северный,4,
319,4,Исторический,4,
290,4,Исторический,4,
580,3,Северный,4,
714,1,Киевский - Сердце столицы,4,
292,4,Исторический,4,
650,3А,Северный,4,
642,3А,Северный,4,
304,4,Исторический,4,
587,3,Северный,4,
543,1,Киевский - Сердце столицы,4,
664,3А,Северный,4,
558,1,Киевский - Сердце столицы,4,
604,3,Северный,4,
666,3А,Северный,4,
644,3А,Северный,4,
592,3,Северный,4,
655,3А,Северный,4,
570,3,Северный,4,
674,3А,Северный,4,
684,3А,Северный,4,
285,4,Исторический,4,
564,3,Северный,4,
559,1,Киевский - Сердце столицы,4,
641,3А,Северный,4,
328,4,Исторический,4,
559,1,Киевский - Сердце столицы,4,
560,1,Киевский - Сердце столицы,4,
342,4,Исторический,4,
333,4,Исторический,4,
328,4,Исторический,4,
543,1,Киевский - Сердце столицы,4,
566,3,Северный,4,
303,4,Исторический,4,
585,3,Северный,4,
639,3А,Северный,4,
288,4,Исторический,4,
706,1,Киевский - Сердце столицы,4,
543,1,Киевский - Сердце столицы,4,
313,4,Исторический,4,
334,4,Исторический,4,
553,1,Киевский - Сердце столицы,4,
621,3,Северный,4,
580,3,Северный,4,
